Description,Unicode ,UTF-8,Symbol,To Value 
LATIN SMALL LETTER A WITH GRAVE, U+00E0,C3 A0,à,a
LATIN SMALL LETTER A WITH ACUTE,U+00E1,C3 A1,á,a
LATIN SMALL LETTER A WITH CIRCUMFLEX,U+00E2,C3 A2,â,a
LATIN SMALL LETTER A WITH TILDE,U+00E3,C3 A3,ã,a
LATIN SMALL LETTER A WITH DIAERESIS,U+00E4,C3 A4,ä,a
LATIN SMALL LETTER A WITH RING ABOVE,U+00E5,C3 A5,å,a
LATIN SMALL LETTER C WITH ACUTE,U+0107,C4 87,ć,c
LATIN SMALL LETTER C WITH CIRCUMFLEX,U+0109,C4 89,ĉ,c
LATIN SMALL LETTER C WITH DOT ABOVE,U+010B,C4 8B,ċ,c
LATIN SMALL LETTER C WITH CARON,U+010D,C4 8D,č,c
LATIN SMALL LETTER C WITH CEDILLA,U+00E7,C3 A7,ç,c
LATIN SMALL LETTER C WITH CEDILLA AND ACUTE,U+1E09,E1 B8 89,ḉ,c
LATIN SMALL LETTER E WITH GRAVE,U+00E8,C3 A8,è,e
LATIN SMALL LETTER E WITH ACUTE,U+00E9,C3 A9,é,e
LATIN SMALL LETTER E WITH CIRCUMFLEX,U+00EA,C3 AA,ê,e
LATIN SMALL LETTER E WITH TILDE,U+1EBD,E1 BA BD,ẽ,e
LATIN SMALL LETTER E WITH DIAERESIS,U+00EB,C3 AB,ë,e
LATIN SMALL LETTER I WITH GRAVE,U+00EC,C3 AC,ì,i
LATIN SMALL LETTER I WITH ACUTE,U+00ED,C3 AD,í,i
LATIN SMALL LETTER I WITH CIRCUMFLEX,U+00EE,C3 AE,î,i
LATIN SMALL LETTER I WITH TILDE,U+0129,C4 A9,ĩ,i
LATIN SMALL LETTER I WITH DIAERESIS,U+00EF,C3 AF,ï,i
LATIN SMALL LETTER O WITH GRAVE,U+00F2,C3 B2,ò,o
LATIN SMALL LETTER O WITH ACUTE,U+00F3,C3 B3,ó,o
LATIN SMALL LETTER O WITH CIRCUMFLEX,U+00F4,C3 B4,ô,o
LATIN SMALL LETTER O WITH TILDE,U+00F5,C3 B5,õ,o
LATIN SMALL LETTER O WITH DIAERESIS,U+00F6,C3 B6,ö,o
LATIN SMALL LETTER U WITH GRAVE,U+00F9,C3 B9,ù,u
LATIN SMALL LETTER U WITH ACUTE,U+00FA,C3 BA,ú,u
LATIN SMALL LETTER U WITH CIRCUMFLEX,U+00FB,C3 BB,û,u
LATIN SMALL LETTER U WITH TILDE,U+0169,C5 A9,ũ,u
LATIN SMALL LETTER U WITH DIAERESIS,U+00FC,C3 BC,ü,u
LATIN SMALL LETTER Y WITH GRAV,U+1EF3,E1 BB B3,ỳ,y
LATIN SMALL LETTER Y WITH ACUTE,U+00FD,C3 BD,ý,y
LATIN SMALL LETTER Y WITH CIRCUMFLEX,U+0177,C5 B7,ŷ,y
LATIN SMALL LETTER N WITH TILDE,U+00F1,C3 B1,ñ,n
LATIN CAPITAL LETTER A WITH GRAVE,U+00C0,C3 80,À,A
LATIN CAPITAL LETTER A WITH ACUTE,U+00C1,C3 81,Á,A
LATIN CAPITAL LETTER A WITH CIRCUMFLEX,U+00C2,C3 82,Â,A
LATIN CAPITAL LETTER A WITH TILDE,U+00C3,C3 83,Ã,A
LATIN CAPITAL LETTER A WITH DIAERESIS,U+00C4,C3 84,Ä,A
LATIN CAPITAL LETTER A WITH RING ABOVE,U+00C5,C3 85,Å,A
LATIN CAPITAL LETTER C WITH ACUTE,U+0106,C4 86,Ć,C
LATIN CAPITAL LETTER C WITH CIRCUMFLEX,U+0108,C4 88,Ĉ,C
LATIN CAPITAL LETTER C WITH DOT ABOVE,U+010A,C4 8A,Ċ,C
LATIN CAPITAL LETTER C WITH CARON,U+010C,C4 8C,Č,C
LATIN CAPITAL LETTER C WITH CEDILLA,U+00C7,C3 87,Ç,C
LATIN CAPITAL LETTER C WITH CEDILLA AND ACUTE,U+1E08,E1 B8 88,Ḉ,C
LATIN CAPITAL LETTER E WITH GRAVE,U+00C8,C3 88,È,E
LATIN CAPITAL LETTER E WITH ACUTE,U+00C9,C3 89,É,E
LATIN CAPITAL LETTER E WITH CIRCUMFLEX,U+00CA,C3 8A,Ê,E
LATIN CAPITAL LETTER E WITH TILDE,U+1EBC,E1 BA BC,Ẽ,E
LATIN CAPITAL LETTER E WITH DIAERESIS,U+00CB,C3 8B,Ë,E
LATIN CAPITAL LETTER I WITH GRAVE,U+00CC,C3 8C,Ì,I
LATIN CAPITAL LETTER I WITH ACUTE,U+00CD,C3 8D,Í,I
LATIN CAPITAL LETTER I WITH CIRCUMFLEX,U+00CE,C3 8E,Î,I
LATIN CAPITAL LETTER I WITH TILDE,U+0128,C4 A8,Ĩ,I
LATIN CAPITAL LETTER I WITH DIAERESIS,U+00CF,C3 8F,Ï,I
LATIN CAPITAL LETTER N WITH TILDE,U+00D1,C3 91,Ñ,N
LATIN CAPITAL LETTER O WITH GRAVE,U+00D2,C3 92,Ò,O
LATIN CAPITAL LETTER O WITH ACUTE,U+00D3,C3 93,Ó,O
LATIN CAPITAL LETTER O WITH CIRCUMFLEX,U+00D4,C3 94,Ô,O
LATIN CAPITAL LETTER O WITH TILDE,U+00D5,C3 95,Õ,O
LATIN CAPITAL LETTER O WITH DIAERESIS,U+00D6,C3 96,Ö,O
LATIN CAPITAL LETTER U WITH GRAVE,U+00D9,C3 99,Ù,U
LATIN CAPITAL LETTER U WITH ACUTE,U+00DA,C3 9A,Ú,U
LATIN CAPITAL LETTER U WITH CIRCUMFLEX,U+00DB,C3 9B,Û,U
LATIN CAPITAL LETTER U WITH TILDE,U+0168,C5 A8,Ũ,U
LATIN CAPITAL LETTER U WITH DIAERESIS,U+00DC,C3 9C,Ü,U
LATIN CAPITAL LETTER Y WITH GRAVE,U+1EF2,E1 BB B2,Ỳ,Y
LATIN CAPITAL LETTER Y WITH ACUTE,U+00DD,C3 9D,Ý,Y
LATIN CAPITAL LETTER Y WITH CIRCUMFLEX,U+0176,C5 B6,Ŷ,Y